Profesional,EP,Contexto,Method Class,Metodo,Instrumento,Estandar,Metodo anterior,Metodo mapeado
Psychologists / Psychiatrists,EP-02,,Testing,Case-based testing,Surveys and questionnaires,,Usability perception questionnaires/interviews,Sí
Psychologists / Psychiatrists,EP-02,,Inquiry,Questionnaires,Surveys and questionnaires,,Usability perception questionnaires/interviews,Sí
Psychologists / Psychiatrists,EP-02,,Testing,Case-based testing,Surveys and questionnaires,,User-based usability measurement,Sí
Psychologists / Psychiatrists,EP-02,,Inquiry,Questionnaires,Surveys and questionnaires,,User-based usability measurement,Sí
Nurses,EP-04,Hospitals,Testing,Case-based testing,Discourse-based methods,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - ISO 9241-210 (User-Centered Design)",User-based usability measurement,Sí
Physicians,EP-04,Hospitals,Testing,Case-based testing,Discourse-based methods,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - ISO 9241-210 (User-Centered Design)",User-based usability measurement,Sí
Physicians,EP-09,,Testing,Case-based testing,Surveys and questionnaires,,Usability perception questionnaires/interviews,Sí
Physicians,EP-09,,Inquiry,Questionnaires,Surveys and questionnaires,,Usability perception questionnaires/interviews,Sí
Physicians,EP-09,,Testing,Case-based testing,Surveys and questionnaires,,User-based usability measurement,Sí
Physicians,EP-09,,Inquiry,Questionnaires,Surveys and questionnaires,,User-based usability measurement,Sí
Students,EP-10,,Testing,Case-based testing,Standardized usability,,Usability perception questionnaires/interviews,Sí
Students,EP-10,,Inquiry,Questionnaires,Standardized usability,,Usability perception questionnaires/interviews,Sí
Students,EP-10,,Testing,Case-based testing,Standardized usability,,User-based usability measurement,Sí
Students,EP-10,,Inquiry,Questionnaires,Standardized usability,,User-based usability measurement,Sí
Nurses,EP-13,,Inspection,Cognitive walkthrough,Standardized usability,Estándares clínicos / médicos - College of American Pathologists (CAP) cancer protocol,Standardized usability scales,Sí
Nurses,EP-13,,Inspection,Talk-based walkthrough,Standardized usability,Estándares clínicos / médicos - College of American Pathologists (CAP) cancer protocol,Standardized usability scales,Sí
Nurses,EP-13,,Inquiry,SUS system usability scale,Standardized usability,Estándares clínicos / médicos - College of American Pathologists (CAP) cancer protocol,Standardized usability scales,Sí
Nurses,EP-13,,Inspection,Cognitive walkthrough,Standardized usability,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - IEC 62304 (ciclo de vida de software médico)",Standardized usability scales,Sí
Nurses,EP-13,,Inspection,Talk-based walkthrough,Standardized usability,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - IEC 62304 (ciclo de vida de software médico)",Standardized usability scales,Sí
Nurses,EP-13,,Inquiry,SUS system usability scale,Standardized usability,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - IEC 62304 (ciclo de vida de software médico)",Standardized usability scales,Sí
Nurses,EP-13,,Inspection,Cognitive walkthrough,Standardized usability,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - IEC 62366 (usabilidad para dispositivos médicos)",Standardized usability scales,Sí
